company,candidate_id,previous_status,status,fetched,us_title_pass,board_url,source_url,checked_at,ats_type,display_name,identity_evidence,adopt
Salute Mission Inc.,employer_b64b0699c092c0e0ff39,unresolved,readable,140,11,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=d5856577-2c4f-400c-bcf3-4f80afedad61&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=d5856577-2c4f-400c-bcf3-4f80afedad61&ccId=19000101_000001&jobId=593984&source=IN&lang=en_US,2026-09-15T20:23:28Z,adp,Salute Mission Inc.,Public welcome and/or complete posting description reviewed against saved employer link,yes
TRAFFIC MANAGEMENT SOLUTIONS,employer_3bfe8857a7bd2002a996,timeout,readable,30,2,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=85cdd3b9-1f58-4083-a839-c7b7d0a15ff1&ccId=19000101_000001,https://workforcenow.adp.com/mascsr/default/mdf/recruitment/recruitment.html?cid=85cdd3b9-1f58-4083-a839-c7b7d0a15ff1&ccId=19000101_000001&jobId=588472&source=IN&lang=en_US,2026-09-15T20:23:30Z,adp,TRAFFIC MANAGEMENT SOLUTIONS,Public welcome and/or complete posting description reviewed against saved employer link,yes
YMCA,employer_6cbbc9fe96469943f838,fetch_error,readable,6,1,https://www.paycomonline.net/v4/ats/web.php/portal/EB515929FFEA5D1503321C87D47C0876/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/EB515929FFEA5D1503321C87D47C0876/jobs/348500?source=Indeed,2026-09-15T20:31:29Z,paycom,Woodson YMCA,WOODSON YMCA INC,yes
"Amenity Health Services, PLLC.",employer_c809bf291d0a48d0cedd,timeout,readable,17,1,https://www.paycomonline.net/v4/ats/web.php/portal/10A3DE6511E7D6C24F2144B34E6A7836/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/10A3DE6511E7D6C24F2144B34E6A7836/jobs/113675?source=Indeed,2026-09-15T20:31:32Z,paycom,"Amenity Health Services, PLLC.",Amenity ABA Center,yes
Ebara Technologies,employer_e124d12e622d4087d7a4,unresolved,readable,24,3,https://www.paycomonline.net/v4/ats/web.php/portal/95CACB007211B4A999FBE2ED52E7762E/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/95CACB007211B4A999FBE2ED52E7762E/jobs/397298?source=Indeed,2026-09-15T20:31:34Z,paycom,Ebara Technologies,EBARA TECHNOLOGIES INCORPORATED,yes
Metropolitan Family Service,employer_2ba50a90c0b4d2cb223e,timeout,readable,18,2,https://www.paycomonline.net/v4/ats/web.php/portal/A987FA0B5A5040C44E5381F270D181DA/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/A987FA0B5A5040C44E5381F270D181DA/jobs/536615?source=Indeed,2026-09-15T20:31:36Z,paycom,Metropolitan Family Service,METROPOLITAN FAMILY SERVICE,yes
Northeast Kingdom Human Services,employer_2dedc1b802dda190c937,unresolved,readable,65,4,https://www.paycomonline.net/v4/ats/web.php/portal/9AF6C1D7527E8578CBEF8630E33831A5/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/9AF6C1D7527E8578CBEF8630E33831A5/jobs/76430?source=Indeed,2026-09-15T20:31:38Z,paycom,Northeast Kingdom Human Services,NORTHEAST KINGDOM HUMAN SERVICES INC,yes
"People, Technology & Processes",employer_30b3cb4ca897198dfc28,timeout,readable,350,49,https://www.paycomonline.net/v4/ats/web.php/portal/F22E334739B721BD200B05E79DC87DE5/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/F22E334739B721BD200B05E79DC87DE5/jobs/171490?source=Indeed,2026-09-15T20:31:42Z,paycom,"People, Technology & Processes",PEOPLE TECHNOLOGY AND PROCESSES LLC,yes
Western Reserve Area Agency on Aging,employer_f03bb345910438928627,unresolved,readable,14,3,https://www.paycomonline.net/v4/ats/web.php/portal/C503D6406644FAA84F64688532B162A3/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/C503D6406644FAA84F64688532B162A3/jobs/235481?source=Indeed,2026-09-15T20:31:44Z,paycom,Western Reserve Area Agency on Aging,WESTERN RESERVE AREA AGENCY ON AGING,yes
Index Analytics LLC,employer_b7080e00f9750facb067,unresolved,readable,16,10,https://www.paycomonline.net/v4/ats/web.php/portal/F631D597336939B4041FBF6F99B99804/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/F631D597336939B4041FBF6F99B99804/jobs/187585?source=Indeed,2026-09-15T20:31:46Z,paycom,Index Analytics LLC,INDEX ANALYTICS LLC,yes
Regional One Health,employer_ca726a1fb79f1266f592,timeout,readable,279,3,https://www.paycomonline.net/v4/ats/web.php/portal/E208574E271D180B27F578654032D107/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/E208574E271D180B27F578654032D107/jobs/176473?source=Indeed,2026-09-15T20:31:49Z,paycom,Regional One Health,REGIONAL ONE HEALTH,yes
Shamin Hotels,employer_2ebb1a756e503e2ab633,timeout,readable,5,1,https://www.paycomonline.net/v4/ats/web.php/portal/773B2F332BBDB512D5F0E5A3DE12FA5A/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/773B2F332BBDB512D5F0E5A3DE12FA5A/jobs/109975?source=Indeed,2026-09-15T20:31:51Z,paycom,Shamin Hotels,SHAMIN HOTELS INC,yes
CHATSWORTH PRODUCTS INC,employer_6760ca4edf3690a34425,timeout,readable,28,2,https://www.paycomonline.net/v4/ats/web.php/portal/A0EC44FF0B0DFB12FBD46DE2D6CD7840/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/A0EC44FF0B0DFB12FBD46DE2D6CD7840/jobs/380699,2026-09-15T20:31:54Z,paycom,CHATSWORTH PRODUCTS INC,CHATSWORTH PRODUCTS INC,yes
Romark Logistics,employer_fe7df21475efbca56f46,unresolved,readable,5,1,https://www.paycomonline.net/v4/ats/web.php/portal/DF538077F48B76E38E0573E7E1515349/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/DF538077F48B76E38E0573E7E1515349/jobs/105863?source=Indeed,2026-09-15T20:31:56Z,paycom,Romark Logistics,ROMARK ARKANSAS LLC,yes
"Community Interactions, Inc",employer_14e87724f92ef9c23169,unresolved,readable,14,1,https://www.paycomonline.net/v4/ats/web.php/portal/5FFFB17A9D8CC9E9684BD5D9EAD3B5D3/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/5FFFB17A9D8CC9E9684BD5D9EAD3B5D3/jobs/488617?source=Indeed,2026-09-15T20:31:58Z,paycom,"Community Interactions, Inc",COMMUNITY INTERACTIONS INC,yes
Goodwill of Southern Nevada,employer_df37196d1991788a74ea,unresolved,readable,150,1,https://www.paycomonline.net/v4/ats/web.php/portal/16C9052FE9DB320C85CE0280C58B20C2/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/16C9052FE9DB320C85CE0280C58B20C2/jobs/131766?source=Indeed,2026-09-15T20:32:00Z,paycom,Goodwill of Southern Nevada,Goodwill of Southern Nevada,yes
Health Union,employer_3a172bf70008047308f7,timeout,readable,4,1,https://www.paycomonline.net/v4/ats/web.php/portal/D62F7706797AADC2B785E7DECD13D9E7/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/D62F7706797AADC2B785E7DECD13D9E7/jobs/419997?source=Indeed,2026-09-15T20:32:03Z,paycom,Health Union,HEALTH UNION LLC,yes
Miracorp,employer_57047057fcf2ede909f6,unresolved,readable,97,39,https://www.paycomonline.net/v4/ats/web.php/portal/957B67314D085A633E5C9C5568F3BC04/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/957B67314D085A633E5C9C5568F3BC04/jobs/419607?source=Indeed,2026-09-15T20:32:05Z,paycom,Miracorp,MIRACORP INC,yes
Southeastern Comp Consultants Inc,employer_24f0f7d30b60d05a078b,unresolved,readable,23,12,https://www.paycomonline.net/v4/ats/web.php/portal/4044E391B514AC0B5A7D9467CAC134FB/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/4044E391B514AC0B5A7D9467CAC134FB/jobs/247790?source=Indeed,2026-09-15T20:32:07Z,paycom,Southeastern Comp Consultants Inc,SOUTHEASTERN COMP CONSULTANTS INC,yes
North East Medical Services,employer_f1a0a258b9e30516afe7,unresolved,readable,110,11,https://www.paycomonline.net/v4/ats/web.php/portal/6E954C497BEB1CC1EFFCD161606A4897/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/6E954C497BEB1CC1EFFCD161606A4897/jobs/139309?source=Indeed,2026-09-15T20:32:09Z,paycom,North East Medical Services,NORTH EAST MEDICAL SERVICES,yes
Statewide Conditioning,employer_1b6ef73b89932f6e706e,unresolved,readable,6,1,https://www.paycomonline.net/v4/ats/web.php/portal/D7AFD5E5DDFA3EC5B7FC1240E9133375/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/D7AFD5E5DDFA3EC5B7FC1240E9133375/jobs/169530?source=Indeed,2026-09-15T20:32:11Z,paycom,Statewide Conditioning,STATEWIDE CONDITIONING LLC,yes
College Now Greater Cleveland,employer_246688a062e6d979ca24,timeout,readable,9,1,https://www.paycomonline.net/v4/ats/web.php/portal/8BD2A9F20EC13EEBB1B75F7FB00ECF6D/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/8BD2A9F20EC13EEBB1B75F7FB00ECF6D/jobs/532321?source=Indeed,2026-09-15T20:32:14Z,paycom,College Now Greater Cleveland,COLLEGE NOW GREATER CLEVELAND,yes
Cowlitz Indian Tribe,employer_7a7cffaf3be39e4a1b5e,timeout,readable,21,3,https://www.paycomonline.net/v4/ats/web.php/portal/E9FC411F9EDB32C85FC1D36012AA72CB/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/E9FC411F9EDB32C85FC1D36012AA72CB/jobs/74917?source=Indeed,2026-09-15T20:32:16Z,paycom,Cowlitz Indian Tribe,COWLITZ INDIAN TRIBE,yes
Interagency Readiness Solutions,employer_cb2a7f76e43b5a65d503,timeout,readable,2,1,https://www.paycomonline.net/v4/ats/web.php/portal/6A65D4839EABF00DA6E56F51C81B899C/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/6A65D4839EABF00DA6E56F51C81B899C/jobs/595926?source=Indeed,2026-09-15T20:32:18Z,paycom,Interagency Readiness Solutions,INTERAGENCY READINESS SOLUTIONS LLC,yes
My Wireless,employer_ed6a2ee00952e2f93113,timeout,readable,522,1,https://www.paycomonline.net/v4/ats/web.php/portal/F66DA4C9BEA0EACD7DBC7D0B5614FC61/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/F66DA4C9BEA0EACD7DBC7D0B5614FC61/jobs/692399?source=Indeed,2026-09-15T20:32:23Z,paycom,My Wireless,MY WIRELESS,yes
"Symons Fire Protection, Inc",employer_ea3cc9fe4eca2aae40f3,unresolved,readable,14,2,https://www.paycomonline.net/v4/ats/web.php/portal/11441B547980B6EB5236C97B4061C0C5/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/11441B547980B6EB5236C97B4061C0C5/jobs/483768?source=Indeed,2026-09-15T20:32:25Z,paycom,"Symons Fire Protection, Inc","Symons Fire Protection, Inc.",yes
Comprehend Inc,employer_b529e632a0b6fab6663f,unresolved,readable,21,1,https://www.paycomonline.net/v4/ats/web.php/portal/8A22DA8A0419AFE6C8D4F473787B2945/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/8A22DA8A0419AFE6C8D4F473787B2945/jobs/217883?source=Indeed,2026-09-15T20:32:27Z,paycom,Comprehend Inc,Comprehend Inc.,yes
Four Oaks Family And Childrens Services,employer_136daef4827618da504d,timeout,readable,57,3,https://www.paycomonline.net/v4/ats/web.php/portal/A2D0C837FF0A7B96B06455120E2BB479/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/A2D0C837FF0A7B96B06455120E2BB479/jobs/744620?source=Indeed,2026-09-15T20:32:30Z,paycom,Four Oaks Family And Childrens Services,FOUR OAKS FAMILY AND CHILDRENS SERVICES,yes
Lake Region Healthcare,employer_ec2ccf5efb0fe7cac0f2,timeout,readable,46,1,https://www.paycomonline.net/v4/ats/web.php/portal/A3D1DDFDE6DE09EAAF2A6FE53D4C6A02/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/A3D1DDFDE6DE09EAAF2A6FE53D4C6A02/jobs/934258?source=Indeed,2026-09-15T20:32:32Z,paycom,Lake Region Healthcare,LAKE REGION HEALTHCARE CORPORATION,yes
Lutheran Services Carolinas,employer_4328e8f05d69bf4498f4,unresolved,readable,80,5,https://www.paycomonline.net/v4/ats/web.php/portal/BBB61291218588DA1B7C2B47B7D7CAE7/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/BBB61291218588DA1B7C2B47B7D7CAE7/jobs/504510?source=Indeed,2026-09-15T20:32:34Z,paycom,Lutheran Services Carolinas,Lutheran Services Carolinas,yes
PLANTERS BANK,employer_255eab329363eecf45e4,timeout,readable,7,1,https://www.paycomonline.net/v4/ats/web.php/portal/428A3AD7FBD86DF84355911DEA1C1FF2/career-page,https://www.paycomonline.net/v4/ats/web.php/portal/428A3AD7FBD86DF84355911DEA1C1FF2/jobs/370803?source=Indeed,2026-09-15T20:32:36Z,paycom,PLANTERS BANK,PLANTERS BANK & TRUST CO,yes
AWIP,employer_1f3aecb1cea56a47c79c,unresolved,readable,26,0,https://app.trinethire.com/companies/20533-all-weather-insulated-panels/jobs,https://app.trinethire.com/companies/20533-all-weather-insulated-panels/jobs/124242-project-coordinator-data-entry?source=indeed,2026-09-15T20:34:38Z,trinethire,All Weather Insulated Panels,Careers at All Weather Insulated Panels,yes
Beko Technologies,employer_12cfd55c10ec0cd404ff,unresolved,empty,0,0,https://app.trinethire.com/companies/18422-beko-technologies-corporation/jobs,https://app.trinethire.com/companies/18422-beko-technologies-corporation/jobs/124236-junior-product-manager?source=indeed,2026-09-15T20:34:39Z,trinethire,Beko Technologies,Careers at BEKO Technologies Corporation,yes
